"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"2012","Rhinolophus euryale",36.82,-3.95,"Rhinolophus euryale Blasius, 1853","Rhinolophidae","Rhinolophus","Rhinolophus euryale",2007,NA,NA,NA,NA,NA
"2013","Rhinolophus euryale",39.240002,-0.97,"Rhinolophus euryale Blasius, 1853","Rhinolophidae","Rhinolophus","Rhinolophus euryale",2007,NA,NA,NA,NA,NA
"2014","Rhinolophus euryale",36.330002,-5.95,"Rhinolophus euryale Blasius, 1853","Rhinolophidae","Rhinolophus","Rhinolophus euryale",2007,NA,NA,NA,NA,NA
"2015","Plecotus austriacus",41.939999,-4.75,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2007,NA,NA,NA,NA,NA
"2016","Plecotus austriacus",41.869999,-2.7,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2007,NA,NA,NA,NA,NA
"2017","Plecotus auritus",42.950001,-3.8,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2018","Pipistrellus pygmaeus",41.310001,-4.73,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2019","Plecotus austriacus",41.41,-4.5,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2007,NA,NA,NA,NA,NA
"2020","Plecotus auritus",40.330002,-4.47,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2021","Plecotus auritus",41.779999,2.46,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2022","Plecotus austriacus",42.490002,-1.48,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2007,NA,NA,NA,NA,NA
"2023","Plecotus austriacus",39.59,-5.39,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2007,NA,NA,NA,NA,NA
"2024","Pipistrellus pygmaeus",42.459999,-6.14,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2025","Pipistrellus pygmaeus",39.68,-6.49,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2026","Pipistrellus pygmaeus",38.950001,-0.29,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2027","Pipistrellus pygmaeus",42.040001,-4.51,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2028","Pipistrellus pygmaeus",41.84,-6.29,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2029","Pipistrellus pygmaeus",42.68,-3.55,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2030","Pipistrellus pipistrellus",41.560001,-5.82,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2031","Pipistrellus pygmaeus",42.310001,-4.15,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2032","Pipistrellus pipistrellus",41.849998,-4.99,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2033","Pipistrellus pipistrellus",41.23,-4.49,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
